front,back
"<div><u>Orthogonalisation de Gramm-Schmidt</u></div><div><br /></div>Soit E un espace vectoriel euclidien de dimension [$]n \in \mathbb{N}^*[/$]. Si [$]B =&nbsp;(\overrightarrow{e_1},...,\overrightarrow{e_n} &nbsp;)[/$] est une base de E, alors il existe une base orthogonale [$]C =&nbsp;(\overrightarrow{f_1},...,\overrightarrow{f_n} &nbsp;)[/$] de E vérifiant les trois propriétés équivalentes suivantes :&nbsp;<div><br /></div><div>1. {{c1::La matrice de passage P = [$]P_{B \to C}[/$] est triangulaire supérieure.}}</div><div><br /></div><div>2. {{c2::[$]\forall k \in&nbsp;[\![ 1;n ]\!], \; vect&nbsp;(\overrightarrow{f_1},...,\overrightarrow{f_n} &nbsp;) \subset vect (\overrightarrow{e_1},...,\overrightarrow{e_k} &nbsp;)[/$]}}</div><div><br /></div><div>3.{{c2::[$]&nbsp;\forall k \in&nbsp;[\![ 1;n ]\!], \; vect&nbsp;(\overrightarrow{f_1},...,\overrightarrow{f_n} &nbsp;) = vect (\overrightarrow{e_1},...,\overrightarrow{e_k} &nbsp;)[/$]}}</div><div><br /></div><div>De plus si [$]D = &nbsp;(\overrightarrow{g_1},...,\overrightarrow{g_n} &nbsp;)[/$] est une autre base orthogonale de E vérifiant 1-2-3, alors :&nbsp;</div><div><br /></div><div>{{c4::[$]\forall k \in&nbsp;[\![ 1;n ]\!], \; \exists \lambda_k \in \mathbb{R}^*, \; g_k = \lambda_k f_k[/$]}}</div>",
"<u>Formule de Taylor-Young pour les fonctions à valeur dans [$]\mathbb{R}^2[/$]</u><div><u><br /></u></div><div>I est un intervalle de [$]\mathbb{R}[/$] contenant au moins deux points distincts.&nbsp;<br /><br /></div><div>[$]Soit \; \begin{aligned} F : I &amp;\to \mathbb{R}^2 \\ t &amp;\to (x(t),y(t)) \end{aligned} \; avec \; x,y : I\to \mathbb{R}.[/$]</div><div><br /></div><div>On dit que [$]\overrightarrow{F}[/$] est de classe [$]C^n[/$] sur I [$]( n \in \mathbb{N} )[/$] si {{c2::x et y sont de classe [$]C^n.[/$]}}</div><div><br /></div><div>Si&nbsp;[$]\overrightarrow{F}[/$] est de classe [$]C^n[/$] sur I, et [$]t_0 \in I[/$], alors</div><div><br /></div><div>[$$]\forall t \in I, \overrightarrow{F}(t) = [/$$] {{c1:: [$$] \overrightarrow{F}(t_0) + (t-t_0)\overrightarrow{F'}(t_0) + ... + \frac{ (t-t_0)^n\overrightarrow{F^{(n)} }(t_0) } { n! } +&nbsp;\frac{ (t-t_0)^n\overrightarrow{\epsilon^{(n)} }(t) } { n! } [/$$]</div><div><br /></div><div>&nbsp;[$$]&nbsp;avec \; \overrightarrow{\epsilon}(t) : I \to \mathbb{R}^2 \; et \; \lim{t \to t_0} \; \epsilon(t) = (0,0)[/$$]&nbsp;}}</div>",
"<u>Formule de Taylor-Young pour les fonctions à valeur dans [$]\mathbb{R}^2[/$]</u><div><u><br /></u></div><div>I est un intervalle de [$]\mathbb{R}[/$] contenant au moins deux points distincts.&nbsp;<br /><br /></div><div>[$]Soit \; \begin{aligned} F : I &amp;\to \mathbb{R}^2 \\ t &amp;\to (x(t),y(t)) \end{aligned} \; avec \; x,y : I\to \mathbb{R}.[/$]</div><div><br /></div><div>On dit que [$]\overrightarrow{F}[/$] est de classe [$]C^n[/$] sur I [$]( n \in \mathbb{N} )[/$] si {{c2::x et y sont de classe [$]C^n.[/$]}}</div><div><br /></div><div>Si&nbsp;[$]\overrightarrow{F}[/$] est de classe [$]C^n[/$] sur I, et [$]t_0 \in I[/$], alors</div><div><br /></div><div>[$$]\forall t \in I, \overrightarrow{F}(t) = [/$$] {{c1:: [$$] \overrightarrow{F}(t_0) + (t-t_0)\overrightarrow{F'}(t_0) + ... + \frac{ (t-t_0)^n\overrightarrow{F^{(n)} }(t_0) } { n! } +&nbsp;\frac{ (t-t_0)^n\overrightarrow{\epsilon^{(n)} }(t) } { n! } [/$$]</div><div><br /></div><div>&nbsp;[$$]&nbsp;avec \; \overrightarrow{\epsilon}(t) : I \to \mathbb{R}^2 \; et \; \lim{t \to t_0} \; \epsilon(t) = (0,0)[/$$]&nbsp;}}</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>Soit {{c1::[$]t_0 \in I[/$] et p le plus petit entier appartenant à&nbsp;&nbsp;[$][\![ 1;k ]\!][/$] tel que [$]\overrightarrow{F}^{(p)}(t_0) \neq 0&nbsp;[/$]}}</div><div><br /></div><div>Par définition, la droite {{c1::[$]D(M(t_0)&nbsp;,&nbsp;\overrightarrow{F}^{(p)}(t_0) )[/$]}} est appelée tangeante à la courbe au point &nbsp;[$]M(t_0)&nbsp;[/$]</div>",
"Soit (I,r) de classe C<sup>k</sup>&nbsp;avec [$]k \geq 2[/$]. Soit [$]\theta \in I[/$].<div><br /></div><div>({{c2::[$]M(\theta)[/$] est un point d'inflexion analytique}}) si et seulement si [$]{{c1::(r^2 + 2r'^2 - rr'')(\theta) = 0,}} \; soit, \; {{c1::si \; r(\theta) \neq 0, \; \frac{1}{r''} + \frac{1}{r} = 0}}[/$]</div>",
"Soit (I,r) de classe C<sup>k</sup>&nbsp;avec [$]k \geq 2[/$]. Soit [$]\theta \in I[/$].<div><br /></div><div>({{c2::[$]M(\theta)[/$] est un point d'inflexion analytique}}) si et seulement si [$]{{c1::(r^2 + 2r'^2 - rr'')(\theta) = 0,}} \; soit, \; {{c1::si \; r(\theta) \neq 0, \; \frac{1}{r''} + \frac{1}{r} = 0}}[/$]</div>",
"<div><u>Branches infinies de courbes en représentation polaire</u></div><div><br /></div>Soit (I,r) de classe C<sup>k</sup>&nbsp;avec [$]k \geq 2[/$]. Soit [$]\theta \in I \; et \; \theta_0 [/$] extrémité de I : [$]\lim_{\theta \to \theta_0} r(\theta) = \infty[/$]<div><br /></div><div><u>Cas 1</u> :&nbsp;{{c2::[$]\lim_{\theta \to \theta_0} Y_{\theta} = \infty \; et \; \frac{Y_{\theta} } {&nbsp;X_{\theta} } \underset{ \theta \to \theta_0 } {&nbsp;\longrightarrow &nbsp;} 0[/$]}}</div><div><br /></div><div>[$]\Gamma[/$] présente une {{c3::branche parabolique de direction&nbsp;[$]\overrightarrow{u(\theta_0)}&nbsp;[/$]}}</div><div><br /></div><div>Dans tous les cas, [$]X_{\theta} = {{c1::r(\theta)cos(\theta-\theta_0)}} \; et \; Y_{\theta} = {{c1::r(\theta)sin(\theta - \theta_0)}}[/$]</div>",
"<div><u>Branches infinies de courbes en représentation polaire</u></div><div><br /></div>Soit (I,r) de classe C<sup>k</sup>&nbsp;avec [$]k \geq 2[/$]. Soit [$]\theta \in I \; et \; \theta_0 [/$] extrémité de I : [$]\lim_{\theta \to \theta_0} r(\theta) = \infty[/$]<div><br /></div><div><u>Cas 1</u> :&nbsp;{{c2::[$]\lim_{\theta \to \theta_0} Y_{\theta} = \infty \; et \; \frac{Y_{\theta} } {&nbsp;X_{\theta} } \underset{ \theta \to \theta_0 } {&nbsp;\longrightarrow &nbsp;} 0[/$]}}</div><div><br /></div><div>[$]\Gamma[/$] présente une {{c3::branche parabolique de direction&nbsp;[$]\overrightarrow{u(\theta_0)}&nbsp;[/$]}}</div><div><br /></div><div>Dans tous les cas, [$]X_{\theta} = {{c1::r(\theta)cos(\theta-\theta_0)}} \; et \; Y_{\theta} = {{c1::r(\theta)sin(\theta - \theta_0)}}[/$]</div>",
"<div><u>Branches infinies de courbes en représentation polaire</u></div><div><br /></div>Soit (I,r) de classe C<sup>k</sup>&nbsp;avec [$]k \geq 2[/$]. Soit [$]\theta \in I \; et \; \theta_0 [/$] extrémité de I : [$]\lim_{\theta \to \theta_0} r(\theta) = \infty[/$]<div><br /></div><div><u>Cas 1</u> :&nbsp;{{c2::[$]\lim_{\theta \to \theta_0} Y_{\theta} = \infty \; et \; \frac{Y_{\theta} } {&nbsp;X_{\theta} } \underset{ \theta \to \theta_0 } {&nbsp;\longrightarrow &nbsp;} 0[/$]}}</div><div><br /></div><div>[$]\Gamma[/$] présente une {{c3::branche parabolique de direction&nbsp;[$]\overrightarrow{u(\theta_0)}&nbsp;[/$]}}</div><div><br /></div><div>Dans tous les cas, [$]X_{\theta} = {{c1::r(\theta)cos(\theta-\theta_0)}} \; et \; Y_{\theta} = {{c1::r(\theta)sin(\theta - \theta_0)}}[/$]</div>",
"<div><u>Branches infinies de courbes en représentation polaire</u></div><div><br /></div>Soit (I,r) de classe C<sup>k</sup>&nbsp;avec [$]k \geq 2[/$]. Soit [$]\theta \in I \; et \; \theta_0 [/$] extrémité de I : [$]\lim_{\theta \to \theta_0} r(\theta) = \infty[/$]<div><br /></div><div><u>Cas 2&nbsp;</u>:&nbsp;&nbsp;{{c1::[$]\lim_{\theta \to \theta_0} Y_{\theta} = l \in \mathbb{R}[/$]}}</div><div><br /></div><div>[$]\Gamma[/$] présente une {{c2::asymptote d'équation Y = l dans le repère [$](O, u(\theta_0), v(\theta_0) )[/$]}}</div><div><br /></div><div><br /></div><div>Dans tous les cas, [$]X_{\theta} =r(\theta)cos(\theta-\theta_0) \; et \; Y_{\theta} = r(\theta)sin(\theta - \theta_0)[/$]</div>",
"<div><u>Branches infinies de courbes en représentation polaire</u></div><div><br /></div>Soit (I,r) de classe C<sup>k</sup>&nbsp;avec [$]k \geq 2[/$]. Soit [$]\theta \in I \; et \; \theta_0 [/$] extrémité de I : [$]\lim_{\theta \to \theta_0} r(\theta) = \infty[/$]<div><br /></div><div><u>Cas 2&nbsp;</u>:&nbsp;&nbsp;{{c1::[$]\lim_{\theta \to \theta_0} Y_{\theta} = l \in \mathbb{R}[/$]}}</div><div><br /></div><div>[$]\Gamma[/$] présente une {{c2::asymptote d'équation Y = l dans le repère [$](O, u(\theta_0), v(\theta_0) )[/$]}}</div><div><br /></div><div><br /></div><div>Dans tous les cas, [$]X_{\theta} =r(\theta)cos(\theta-\theta_0) \; et \; Y_{\theta} = r(\theta)sin(\theta - \theta_0)[/$]</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>Soit [$](a,b) \in I^2[/$] tel que a &lt; b.</div><div><br /></div><div>On définit l'arc&nbsp;[$]&nbsp;\widehat{AB}&nbsp;[/$] par</div><div><br /></div><div>&nbsp;[$]&nbsp;\widehat{AB}&nbsp; = {{c1::&nbsp;\{ M(t), t \in [a,b] \} }} [/$]</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>Soit [$](a,b) \in I^2[/$] tel que a &lt; b.</div><div><br /></div><div>La longueur de&nbsp;[$]&nbsp;\widehat{AB}&nbsp;[/$] est par définition :&nbsp;</div><div><br /></div><div>[$$]L_{ \widehat{AB} } =&nbsp;{{c1::&nbsp;\int_a^b || F'(t) || dt}}&nbsp;[/$$]</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>On appelle abscisse curviligne de l'arc&nbsp;{{c1::toute application [$]s : I \to \mathbb{R}[/$] de classe C<sup>1</sup> tel que&nbsp;</div><div><br /></div><div>[$]\forall t \in I, \; s'(t) = ||F'(t)||[/$]&nbsp;}}</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>On suppose que&nbsp;[$]\overrightarrow{F}[/$] possède deux vecteurs dérivés non colinéaires au point [$]t_0 \in I&nbsp;[/$]</div><div><br /></div><div>On note {{c2::p le plus petit entier de [$]&nbsp;[\![ 1;k ]\!][/$] tel que [$]\overrightarrow{F}^{(p)}(t_0) \neq&nbsp;\overrightarrow{0}[/$]}}</div><div>On note {{c3::q&nbsp;le plus petit entier de&nbsp;[$][\![ 1;k ]\!][/$] tel que [$]( \overrightarrow{F}^{(p)}(t_0) ,&nbsp;\overrightarrow{F}^{(q)}(t_0) )[/$] soit libre.&nbsp;}}</div><div><br /></div><div><u>Cas 1 :</u> {{c1::p impair, q pair}}</div><div><br /></div><div>On dit que [$]M(t_0)[/$] est un point à allure ordinaire. Si {{c1::p=1 et q=2}}, [$]M(t_0)[/$] est un point birégulier.&nbsp;</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>On suppose que&nbsp;[$]\overrightarrow{F}[/$] possède deux vecteurs dérivés non colinéaires au point [$]t_0 \in I&nbsp;[/$]</div><div><br /></div><div>On note {{c2::p le plus petit entier de [$]&nbsp;[\![ 1;k ]\!][/$] tel que [$]\overrightarrow{F}^{(p)}(t_0) \neq&nbsp;\overrightarrow{0}[/$]}}</div><div>On note {{c3::q&nbsp;le plus petit entier de&nbsp;[$][\![ 1;k ]\!][/$] tel que [$]( \overrightarrow{F}^{(p)}(t_0) ,&nbsp;\overrightarrow{F}^{(q)}(t_0) )[/$] soit libre.&nbsp;}}</div><div><br /></div><div><u>Cas 1 :</u> {{c1::p impair, q pair}}</div><div><br /></div><div>On dit que [$]M(t_0)[/$] est un point à allure ordinaire. Si {{c1::p=1 et q=2}}, [$]M(t_0)[/$] est un point birégulier.&nbsp;</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>On suppose que&nbsp;[$]\overrightarrow{F}[/$] possède deux vecteurs dérivés non colinéaires au point [$]t_0 \in I&nbsp;[/$]</div><div><br /></div><div>On note {{c2::p le plus petit entier de [$]&nbsp;[\![ 1;k ]\!][/$] tel que [$]\overrightarrow{F}^{(p)}(t_0) \neq&nbsp;\overrightarrow{0}[/$]}}</div><div>On note {{c3::q&nbsp;le plus petit entier de&nbsp;[$][\![ 1;k ]\!][/$] tel que [$]( \overrightarrow{F}^{(p)}(t_0) ,&nbsp;\overrightarrow{F}^{(q)}(t_0) )[/$] soit libre.&nbsp;}}</div><div><br /></div><div><u>Cas 1 :</u> {{c1::p impair, q pair}}</div><div><br /></div><div>On dit que [$]M(t_0)[/$] est un point à allure ordinaire. Si {{c1::p=1 et q=2}}, [$]M(t_0)[/$] est un point birégulier.&nbsp;</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>On suppose que&nbsp;[$]\overrightarrow{F}[/$] possède deux vecteurs dérivés non colinéaires au point [$]t_0 \in I&nbsp;[/$]</div><div><br /></div><div>On note p le plus petit entier de [$]&nbsp;[\![ 1;k ]\!][/$] tel que [$]\overrightarrow{F}^{(p)}(t_0) \neq&nbsp;\overrightarrow{0}[/$]</div><div>On note q&nbsp;le plus petit entier de&nbsp;[$][\![ 1;k ]\!][/$] tel que [$]( \overrightarrow{F}^{(p)}(t_0) ,&nbsp;\overrightarrow{F}^{(q)}(t_0) )[/$] soit libre.&nbsp;</div><div><br /></div><div><u>Cas 2 :</u>&nbsp;{{c1::p impair, q impair}}</div><div><br /></div><div>On dit que [$]M(t_0)[/$] est {{c2::un point d'inflexion : la courbe traverse sa tangeante.}}</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>On suppose que&nbsp;[$]\overrightarrow{F}[/$] possède deux vecteurs dérivés non colinéaires au point [$]t_0 \in I&nbsp;[/$]</div><div><br /></div><div>On note p le plus petit entier de [$]&nbsp;[\![ 1;k ]\!][/$] tel que [$]\overrightarrow{F}^{(p)}(t_0) \neq&nbsp;\overrightarrow{0}[/$]</div><div>On note q&nbsp;le plus petit entier de&nbsp;[$][\![ 1;k ]\!][/$] tel que [$]( \overrightarrow{F}^{(p)}(t_0) ,&nbsp;\overrightarrow{F}^{(q)}(t_0) )[/$] soit libre.&nbsp;</div><div><br /></div><div><u>Cas 2 :</u>&nbsp;{{c1::p impair, q impair}}</div><div><br /></div><div>On dit que [$]M(t_0)[/$] est {{c2::un point d'inflexion : la courbe traverse sa tangeante.}}</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>On suppose que&nbsp;[$]\overrightarrow{F}[/$] possède deux vecteurs dérivés non colinéaires au point [$]t_0 \in I&nbsp;[/$]</div><div><br /></div><div>On note p le plus petit entier de [$]&nbsp;[\![ 1;k ]\!][/$] tel que [$]\overrightarrow{F}^{(p)}(t_0) \neq&nbsp;\overrightarrow{0}[/$]</div><div>On note q&nbsp;le plus petit entier de&nbsp;[$][\![ 1;k ]\!][/$] tel que [$]( \overrightarrow{F}^{(p)}(t_0) ,&nbsp;\overrightarrow{F}^{(q)}(t_0) )[/$] soit libre.&nbsp;</div><div><br /></div><div><u>Cas 3 :</u>&nbsp;{{c1::p pair, q impair}}</div><div><br /></div><div>On dit que [$]M(t_0)[/$] est {{c2::un point de rebroussement de première espèce.}}</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>On suppose que&nbsp;[$]\overrightarrow{F}[/$] possède deux vecteurs dérivés non colinéaires au point [$]t_0 \in I&nbsp;[/$]</div><div><br /></div><div>On note p le plus petit entier de [$]&nbsp;[\![ 1;k ]\!][/$] tel que [$]\overrightarrow{F}^{(p)}(t_0) \neq&nbsp;\overrightarrow{0}[/$]</div><div>On note q&nbsp;le plus petit entier de&nbsp;[$][\![ 1;k ]\!][/$] tel que [$]( \overrightarrow{F}^{(p)}(t_0) ,&nbsp;\overrightarrow{F}^{(q)}(t_0) )[/$] soit libre.&nbsp;</div><div><br /></div><div><u>Cas 3 :</u>&nbsp;{{c1::p pair, q impair}}</div><div><br /></div><div>On dit que [$]M(t_0)[/$] est {{c2::un point de rebroussement de première espèce.}}</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>On suppose que&nbsp;[$]\overrightarrow{F}[/$] possède deux vecteurs dérivés non colinéaires au point [$]t_0 \in I&nbsp;[/$]</div><div><br /></div><div>On note p le plus petit entier de [$]&nbsp;[\![ 1;k ]\!][/$] tel que [$]\overrightarrow{F}^{(p)}(t_0) \neq&nbsp;\overrightarrow{0}[/$]</div><div>On note q&nbsp;le plus petit entier de&nbsp;[$][\![ 1;k ]\!][/$] tel que [$]( \overrightarrow{F}^{(p)}(t_0) ,&nbsp;\overrightarrow{F}^{(q)}(t_0) )[/$] soit libre.&nbsp;</div><div><br /></div><div><u>Cas 4 :</u>&nbsp;{{c1::p pair, q pair}}</div><div><br /></div><div>On dit que [$]M(t_0)[/$] est {{c2::un point de rebroussement de deuxième espèce.}}</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>On suppose que&nbsp;[$]\overrightarrow{F}[/$] possède deux vecteurs dérivés non colinéaires au point [$]t_0 \in I&nbsp;[/$]</div><div><br /></div><div>On note p le plus petit entier de [$]&nbsp;[\![ 1;k ]\!][/$] tel que [$]\overrightarrow{F}^{(p)}(t_0) \neq&nbsp;\overrightarrow{0}[/$]</div><div>On note q&nbsp;le plus petit entier de&nbsp;[$][\![ 1;k ]\!][/$] tel que [$]( \overrightarrow{F}^{(p)}(t_0) ,&nbsp;\overrightarrow{F}^{(q)}(t_0) )[/$] soit libre.&nbsp;</div><div><br /></div><div><u>Cas 4 :</u>&nbsp;{{c1::p pair, q pair}}</div><div><br /></div><div>On dit que [$]M(t_0)[/$] est {{c2::un point de rebroussement de deuxième espèce.}}</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>On suppose que&nbsp;[$]\overrightarrow{F}[/$] possède deux vecteurs dérivés non colinéaires au point [$]t_0 \in I&nbsp;[/$]</div><div><br /></div><div>On note p le plus petit entier de [$]&nbsp;[\![ 1;k ]\!][/$] tel que [$]\overrightarrow{F}^{(p)}(t_0) \neq&nbsp;\overrightarrow{0}[/$]</div><div>On note q&nbsp;le plus petit entier de&nbsp;[$][\![ 1;k ]\!][/$] tel que [$]( \overrightarrow{F}^{(p)}(t_0) ,&nbsp;\overrightarrow{F}^{(q)}(t_0) )[/$] soit libre.&nbsp;</div><div><br /></div><div>La concavité de la courbe au voisinage de M(t<sub>0</sub>) est donnée&nbsp;par {{c1::le vecteur&nbsp;[$]\overrightarrow{F}^{(q)}(t_0)&nbsp;[/$]}}</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>On suppose que&nbsp;[$]\overrightarrow{F}[/$] possède deux vecteurs dérivés non colinéaires au point [$]t_0 \in I&nbsp;[/$]</div><div><br /></div><div>On note p le plus petit entier de [$]&nbsp;[\![ 1;k ]\!][/$] tel que [$]\overrightarrow{F}^{(p)}(t_0) \neq&nbsp;\overrightarrow{0}[/$]</div><div>On note q&nbsp;le plus petit entier de&nbsp;[$][\![ 1;k ]\!][/$] tel que [$]( \overrightarrow{F}^{(p)}(t_0) ,&nbsp;\overrightarrow{F}^{(q)}(t_0) )[/$] soit libre.&nbsp;</div><div><br /></div><div>On dit que M(t<sub>0</sub>) est un point d'inflexion géométrique si {{c1::la courbe traverse sa tangeante ( p et q impairs )&nbsp;}}</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>On suppose que&nbsp;[$]\overrightarrow{F}[/$] possède deux vecteurs dérivés non colinéaires au point [$]t_0 \in I&nbsp;[/$]</div><div><br /></div><div>On dit que M(t<sub>0</sub>) est un point d'inflexion analytique si {{c1::[$]Det(\overrightarrow{F}'(t_0) ,&nbsp;\overrightarrow{F}''(t_0) ) = 0&nbsp;[/$]}}</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>On suppose que&nbsp;[$]\overrightarrow{F}[/$] possède deux vecteurs dérivés non colinéaires au point [$]t_0 \in I&nbsp;[/$]</div><div><br /></div><div>Pour chercher les points d'inflexions géométriques, on résout l'équation {{c2::(x'y'' - x''y')(t) = 0}}. On trouve alors {{c1::les points d'inflexions analytiques, parmi lesquels se trouvent les points d'inflexions géométriques.&nbsp;}}</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>On suppose que&nbsp;[$]\overrightarrow{F}[/$] possède deux vecteurs dérivés non colinéaires au point [$]t_0 \in I&nbsp;[/$]</div><div><br /></div><div>Pour chercher les points d'inflexions géométriques, on résout l'équation {{c2::(x'y'' - x''y')(t) = 0}}. On trouve alors {{c1::les points d'inflexions analytiques, parmi lesquels se trouvent les points d'inflexions géométriques.&nbsp;}}</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>Soit [$](a,b) \in I^2[/$] tel que a &lt; b.</div><div><br /></div><div>La longueur de&nbsp;[$]&nbsp;\widehat{AB}&nbsp;[/$] est en représentation paramétrique &nbsp;:&nbsp;</div><div><br /></div><div>[$$]L_{ \widehat{AB} } =&nbsp;{{c1::&nbsp;\int_a^b \sqrt{ x'^2(t) + y'^2(t) } dt}}&nbsp;[/$$]</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>Soit [$](a,b) \in I^2[/$] tel que a &lt; b.</div><div><br /></div><div>La longueur de&nbsp;[$]&nbsp;\widehat{AB}&nbsp;[/$] est en représentation polaire :&nbsp;</div><div><br /></div><div>[$$]L_{ \widehat{AB} } =&nbsp;{{c1::&nbsp;\int_a^b \sqrt{ r^2(\theta) + r'^2(\theta) } d\theta }}&nbsp;[/$$]</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>Soit [$](a,b) \in I^2[/$] tel que a &lt; b.</div><div><br /></div><div>La longueur de&nbsp;[$]&nbsp;\widehat{AB}&nbsp;[/$] est en représentation cartésienne :&nbsp;</div><div><br /></div><div>[$$]L_{ \widehat{AB} } =&nbsp;{{c1::&nbsp;\int_a^b \sqrt{1 + f^2(x) } dx}}&nbsp;[/$$]</div><div><br /></div><div>avec [$]F : x \to x \overrightarrow{i} + f(x) \overrightarrow{j}[/$]</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>On suppose&nbsp;[$](I,\overrightarrow{F})[/$] sans points stationnaires.&nbsp;</div><div><br /></div><div>[$]\Gamma = \{ 0 +&nbsp;\overrightarrow{F}(t), t \in I \} =&nbsp;\{ 0 +&nbsp;\overrightarrow{G}(s), s \in J \}[/$]</div><div><br /></div><div>[$]avec \; \overrightarrow{G} ={{c1::&nbsp;\overrightarrow{F} o \; \phi}} \; et \; {{c1::\phi = (s_{| \underset {I}{J} } )^{-1} }}[/$]</div><div><br /></div><div>[$]On \; note \; &nbsp;T = {{c2::\frac{dOM}{ds} }} = {{c2::\frac { \overrightarrow{F'}(t) } { ||\overrightarrow{F'}(t)|| } }}[/$]</div><div><br /></div><div>On appelle&nbsp;[$]\overrightarrow{N}[/$] le vecteur unitaire directement orthogonal à&nbsp;[$]\overrightarrow{T}.[/$]</div><div><br /></div><div>Le repère [$](M,&nbsp;\overrightarrow{N},&nbsp;\overrightarrow{T} )[/$] est appelé {{c3::repère de Frénet au point M(t).&nbsp;}}</div>",
"On consiède l'arc [$](I,\overrightarrow{F})[/$] de classe C<sup>k</sup>&nbsp;sur I avec [$]k \in \mathbb{N}^*[/$].<div><br /></div><div>On suppose&nbsp;[$](I,\overrightarrow{F})[/$] sans points stationnaires.&nbsp;</div><div><br /></div><div>[$]\Gamma = \{ 0 +&nbsp;\overrightarrow{F}(t), t \in I \} =&nbsp;\{ 0 +&nbsp;\overrightarrow{G}(s), s \in J \}[/$]</div><div><br /></div><div>[$]avec \; \overrightarrow{G} ={{c1::&nbsp;\overrightarrow{F} o \; \phi}} \; et \; {{c1::\phi = (s_{| \underset {I}{J} } )^{-1} }}[/$]</div><div><br /></div><div>[$]On \; note \; &nbsp;T = {{c2::\frac{dOM}{ds} }} = {{c2::\frac { \overrightarrow{F'}(t) } { ||\overrightarrow{F'}(t)|| } }}[/$]</div><div><br /></div><div>On appelle&nbsp;[$]\overrightarrow{N}[/$] le vecteur unitaire directement orthogonal à&nbsp;[$]\overrightarrow{T}.[/$]</div><div><br /></div><div>Le repère [$](M,&nbsp;\overrightarrow{N},&nbsp;\overrightarrow{T} )[/$] est appelé {{c3::repère de Frénet au point M(t).&nbsp;}}</div>",
